MSOA_code,MSOA_name,LAD_code,LAD_name,year6_measured,year6_obese_count,year6_obese_prop,year6_obese_pct,year6_obese_ci_low_prop,year6_obese_ci_low_pct,year6_obese_ci_high_prop,year6_obese_ci_high_pct,year6_excess_weight_measured,year6_excess_weight_count,year6_excess_weight_prop,year6_excess_weight_pct,year6_excess_weight_ci_low_prop,year6_excess_weight_ci_low_pct,year6_excess_weight_ci_high_prop,year6_excess_weight_ci_high_pct,LAD_code_imd,lsoa_count,population_total_2015,population_children_0_15_2015,population_older_60plus_2015,imd_score_weighted,income_score_weighted,employment_score_weighted,education_score_weighted,health_score_weighted,crime_score_weighted,barriers_score_weighted,living_environment_score_weighted,idaci_score_weighted,idaopi_score_weighted,msoa2011_area_sqm,green_cover_sqm,green_cover_pct,MSOA21CD,MSOA21NM_lookup,bestfit_change_indicator,population_density_per_sqkm,pct_white,pct_asian,pct_black,pct_mixed,pct_other_ethnic,pct_non_white,pct_owned,pct_social_rented,pct_private_rented,pct_unemployed_16plus,pct_economically_inactive_16plus,pct_no_qualifications,pct_level4plus,pct_lone_parent_households,pct_households_with_dependent_children,exactfit_match_count,MSOA21CD_exact,MSOA21NM_exact,exactfit_change_indicator
E02000001,City of London 001,E09000001,City of London,56,13.0,0.2321428571428571,23.214285714285715,0.1409937910920861,14.099379109208618,0.3576815321501084,35.76815321501085,56,19.0,0.3392857142857143,33.92857142857143,0.2291997240159191,22.91997240159191,0.4700054699293977,47.000546992939775,E09000001,6.0,6687.0,922.0,1785.0,14.720484223119485,0.0650998953192762,0.0531209810079258,5.456302078660087,-0.6863357260355915,-1.6559143113503811,35.65597966203081,38.97253192762075,0.0706475054229934,0.0826717086834733,2905399.3070783,188254.072932548,6.479456110349881,E02000001,City of London 001,,2975.0,69.37325256290774,16.8336439888164,2.702702702702702,5.4753028890959925,5.615097856477167,30.626747437092263,36.507936507936506,14.855514855514857,48.29059829059829,4.085457271364318,29.060469765117443,6.607544341743692,74.18186360229828,3.559804719283971,8.767290480065093,1,E02000001,City of London 001,
E02000002,Barking and Dagenham 001,E09000002,Barking and Dagenham,254,61.0,0.2401574803149606,24.015748031496063,0.1917439706328919,19.174397063289188,0.2963135333707823,29.63135333707824,254,107.0,0.421259842519685,42.1259842519685,0.3621532925148265,36.21532925148265,0.4827126177893172,48.27126177893172,E09000002,4.0,7379.0,1948.0,1330.0,34.76755983195555,0.2154857026697384,0.1359463341916248,31.11536454804174,0.2272538284320368,0.4659861769887518,46.26591177666351,20.016724894972217,0.2720220739219712,0.2403593984962406,2165633.7663065447,1384412.376889675,63.92643107198911,E02000002,Barking and Dagenham 001,,3831.0,48.816710939386624,22.25307896643323,20.97319488046365,4.926346293165902,3.030668920550592,51.183289060613376,43.066202090592334,41.77700348432056,14.529616724738675,5.9147869674185465,39.98329156223893,23.943191311612363,30.91060985797828,21.699756182514804,47.02194357366771,1,E02000002,Barking and Dagenham 001,
E02000003,Barking and Dagenham 002,E09000002,Barking and Dagenham,313,75.0,0.2396166134185303,23.961661341853038,0.1956672238799676,19.56672238799676,0.2898798992563249,28.98798992563249,313,132.0,0.4217252396166134,42.17252396166134,0.3682897611020473,36.828976110204735,0.4770587605769608,47.70587605769608,E09000002,6.0,10720.0,2503.0,1753.0,25.149725932835818,0.1409751865671641,0.0862320895522388,17.860425186567166,-0.0241082089552238,0.5395361940298508,39.82331445895522,30.67056371268657,0.1792792648821414,0.2002407301768397,2143564.9988793484,1013783.6985562262,47.29428307918026,E02000003,Barking and Dagenham 002,,5389.7,40.665626625065,34.945397815912635,15.600624024960998,4.194834460045069,4.593517074016294,59.334373374935,55.6234096692112,13.282442748091604,30.45801526717557,4.907281772953414,35.911352329262776,21.30184201604701,34.0151429540061,15.873823454591706,42.228440600356144,1,E02000003,Barking and Dagenham 002,
E02000004,Barking and Dagenham 003,E09000002,Barking and Dagenham,138,29.0,0.2101449275362318,21.014492753623188,0.1504899652570096,15.04899652570096,0.2855000431288297,28.550004312882976,138,51.0,0.3695652173913043,36.95652173913043,0.2935842024290284,29.35842024290284,0.4526113013445993,45.26113013445994,E09000002,4.0,6536.0,1256.0,1345.0,23.560044369645045,0.1382939106487148,0.0998587821297429,22.919929161566703,0.0240699204406364,0.1180622705018359,36.167014075887394,20.18601162790697,0.1843925159235668,0.1964096654275093,2490215.446152036,1557186.7960886604,62.53221176082887,E02000004,Barking and Dagenham 003,,2663.6,62.85757302017465,15.853658536585366,14.242697982535384,3.7037037037037033,3.342366757000903,37.14242697982535,66.82546556951061,16.154179298397576,16.28410567345171,4.854186265286923,36.55691439322672,23.499529633113827,30.74317968015052,14.032048505846689,36.16284105673452,1,E02000004,Barking and Dagenham 003,
E02000005,Barking and Dagenham 004,E09000002,Barking and Dagenham,363,88.0,0.2424242424242424,24.24242424242424,0.2011845586481529,20.11845586481529,0.2890584455063954,28.905844550639543,363,144.0,0.396694214876033,39.66942148760331,0.3477026200626746,34.77026200626746,0.4478493869511816,44.78493869511816,E09000002,5.0,9243.0,2408.0,1320.0,30.212965379205887,0.1615312128096938,0.1072091312344476,27.02266093259764,0.0837696635291571,0.610199394136103,41.60760305095748,35.7122382343395,0.195735465116279,0.2047515151515151,1186179.9269608008,279090.1574198656,23.528484260810508,E02000005,Barking and Dagenham 004,,9327.5,44.37325151159643,30.07851276960563,17.66086093312878,4.304665643894955,3.5827091417742083,55.62674848840357,51.874310915104736,25.13781697905182,21.47188533627343,4.870414423438087,34.24314511080506,22.268118663161847,33.78395293528602,19.547835676867937,49.73807554452716,1,E02000005,Barking and Dagenham 004,
E02000007,Barking and Dagenham 006,E09000002,Barking and Dagenham,370,95.0,0.2567567567567567,25.675675675675677,0.2149033887328048,21.49033887328049,0.3036090829234393,30.36090829234393,370,156.0,0.4216216216216216,42.16216216216216,0.3723627235193799,37.23627235193799,0.4724912951254098,47.24912951254098,E09000002,5.0,9664.0,2614.0,1409.0,36.007463265728475,0.2177330298013245,0.1318018418874172,30.2492704884106,0.3471748758278146,0.4525116928807947,49.40471543874172,23.58602876655629,0.275433817903596,0.2583839602555003,1733915.7545369712,832531.4870383346,48.0145292445685,E02000007,Barking and Dagenham 006,,5854.4,51.00354191263282,14.669421487603309,26.11176702085793,4.191263282172373,4.02400629673357,48.99645808736718,39.52665941240478,42.21980413492928,16.376496191512512,5.234971214352658,37.55522827687776,23.80123225287972,31.703723546745245,22.15568862275449,42.1883505715841,1,E02000007,Barking and Dagenham 006,
E02000008,Barking and Dagenham 007,E09000002,Barking and Dagenham,421,115.0,0.2731591448931116,27.315914489311165,0.2327902822162168,23.279028221621687,0.317630242818718,31.763024281871804,421,178.0,0.4228028503562945,42.280285035629454,0.3765208079379754,37.65208079379754,0.4704809414194632,47.04809414194632,E09000002,7.0,12282.0,3178.0,1797.0,34.4495850024426,0.2025169353525485,0.1388814525321609,28.685514574173588,0.3292112848070347,0.283155674971503,44.61681802638007,31.31136248168051,0.2459886721208307,0.2633283249860879,1419308.8130551025,394386.3046786996,27.78720889006332,E02000008,Barking and Dagenham 007,,9331.6,54.61747397012224,18.749056888486496,19.31492379658971,4.104421306775313,3.214124038026256,45.382526029877766,43.76216216216216,35.502702702702706,19.52432432432433,5.736040609137056,36.40609137055837,25.215714140696377,28.51487158664095,21.181306793595848,43.4876676763306,1,E02000008,Barking and Dagenham 007,
E02000009,Barking and Dagenham 008,E09000002,Barking and Dagenham,348,104.0,0.2988505747126437,29.88505747126437,0.2531656413048891,25.31656413048892,0.3489278684558608,34.89278684558608,348,156.0,0.4482758620689655,44.82758620689656,0.396872845915223,39.6872845915223,0.5008083423089699,50.08083423089699,E09000002,6.0,10504.0,2939.0,1146.0,36.33654626808835,0.2151954493526275,0.1272588537699923,27.74373143564356,0.3341030083777608,0.7323471058644325,45.5152315308454,35.3678470106626,0.2716805035726438,0.2976561954624782,965621.951013946,202744.18384162587,20.99622772957216,E02000009,Barking and Dagenham 008,,13380.5,44.06094527363184,24.137126865671643,22.862251243781092,4.80410447761194,4.135572139303482,55.93905472636816,36.34226610249177,34.55571227080395,27.12740949694405,5.420141116100064,36.50844558477657,22.204404532820185,33.504383151592904,19.49729856706601,46.8404980032887,1,E02000009,Barking and Dagenham 008,
E02000010,Barking and Dagenham 009,E09000002,Barking and Dagenham,355,89.0,0.2507042253521127,25.070422535211268,0.2084496472169523,20.84496472169523,0.2982963107843963,29.82963107843963,355,146.0,0.4112676056338028,41.12676056338028,0.361296893073566,36.12968930735661,0.4631381089269139,46.31381089269139,E09000002,5.0,9091.0,2471.0,1165.0,34.49335914640854,0.219620283797162,0.136330216697833,25.864053459465403,0.2560650093499064,0.3878483115168848,46.5840710592894,26.540736882631176,0.267783488466208,0.2902103004291845,1120326.014921474,365103.3870552965,32.58903053151786,E02000010,Barking and Dagenham 009,,8458.9,57.26333544170357,15.717900063251106,19.881931267130508,3.995361585494413,3.141471642420409,42.73666455829643,43.40642835686393,33.61369780714929,21.387804145389005,5.455830388692579,34.77031802120141,23.81625441696113,30.996466431095403,21.52088969041178,44.12383528704539,1,E02000010,Barking and Dagenham 009,
E02000011,Barking and Dagenham 010,E09000002,Barking and Dagenham,235,59.0,0.251063829787234,25.106382978723403,0.1999290530123796,19.99290530123796,0.3102062451988258,31.020624519882578,235,104.0,0.4425531914893617,44.25531914893617,0.3804794918965917,38.04794918965917,0.5064748076906096,50.64748076906096,E09000002,4.0,6761.0,1559.0,1185.0,25.713968791598877,0.1472984765567223,0.0916731252773258,23.10781496819997,0.2528914361780802,0.1901335601242419,39.30958556426564,27.131044520041414,0.2251949967928159,0.1540236286919831,1602157.0004441026,558511.3604052829,34.85996442611236,E02000011,Barking and Dagenham 010,,4410.6,51.64319248826291,21.76696542893726,19.94593825579741,3.329065300896287,3.314838526106132,48.35680751173709,55.63110922226945,14.917127071823206,28.856778580535487,4.983388704318937,37.781469176818014,25.47065337763012,31.13695090439276,16.355140186915886,42.09855564995752,1,E02000011,Barking and Dagenham 010,
E02000012,Barking and Dagenham 011,E09000002,Barking and Dagenham,374,95.0,0.2540106951871658,25.40106951871658,0.2125484173249072,21.25484173249072,0.3004748475801815,30.04748475801815,374,154.0,0.4117647058823529,41.17647058823529,0.3630294887383983,36.30294887383983,0.4622940736732095,46.22940736732096,E09000002,5.0,10858.0,2576.0,1590.0,20.632166421072014,0.1223131331736968,0.0730902560324185,15.779800147356788,-0.3234559771596979,0.1577143120279978,40.50975161171487,23.37690191563824,0.1367492236024844,0.2214276729559748,1299786.890578986,413480.5209686016,31.811408775204526,E02000012,Barking and Dagenham 011,,8852.6,25.864465682015634,58.75760208514336,8.94874022589053,3.127715030408341,3.301476976542137,74.13553431798437,67.39659367396594,12.226277372262777,20.072992700729927,4.747371990505256,38.46501638973663,19.32165065008479,34.166195590729224,11.854103343465043,46.443768996960486,1,E02000012,Barking and Dagenham 011,
E02000013,Barking and Dagenham 012,E09000002,Barking and Dagenham,354,83.0,0.2344632768361582,23.44632768361582,0.1933255545579403,19.33255545579403,0.2813021182120773,28.13021182120773,354,140.0,0.3954802259887006,39.548022598870055,0.3459292220139489,34.592922201394884,0.4472752874806325,44.72752874806325,E09000002,5.0,8771.0,2497.0,1227.0,36.09122608596511,0.2084140918937407,0.1302870824307376,34.474062706646905,0.2677083570858511,0.6695263937977426,46.00952776194277,28.689152548170103,0.2500472567080496,0.261200488997555,1300097.740126028,545400.4033816758,41.950723130155296,E02000013,Barking and Dagenham 012,,7203.7,56.30386211299074,16.778380678795614,20.566017661453344,4.362166187892329,1.9895733588679645,43.69613788700926,40.79877112135177,37.05069124423963,21.167434715821813,5.026569007611662,37.498204796783,25.92964824120603,30.078966259870786,20.852499233364,43.452928549524685,1,E02000013,Barking and Dagenham 012,
E02000014,Barking and Dagenham 013,E09000002,Barking and Dagenham,347,86.0,0.2478386167146974,24.78386167146974,0.2053367268149274,20.533672681492742,0.2958624741340177,29.586247413401768,347,127.0,0.3659942363112392,36.59942363112392,0.3170348324498418,31.70348324498418,0.4178881714830261,41.78881714830261,E09000002,6.0,9618.0,2548.0,1428.0,36.55000135163236,0.2030370139322104,0.1355564566437928,30.79346173840715,0.3379784778540237,0.9375598877105428,44.956863797047205,29.416811083385323,0.2213006279434851,0.2885868347338935,1194288.5159504442,431690.5860938416,36.146256145676126,E02000014,Barking and Dagenham 013,,8269.8,60.28994322789944,15.399432278994324,18.937550689375502,3.1528791565287912,2.2201946472019465,39.710056772100565,41.52892561983471,35.62573789846517,22.166469893742622,5.852280371317099,35.19440333647248,25.924929369030004,28.25238799946186,20.93297903749631,43.13551815766164,1,E02000014,Barking and Dagenham 013,
E02000015,Barking and Dagenham 014,E09000002,Barking and Dagenham,287,77.0,0.2682926829268293,26.82926829268293,0.2203406625242114,22.034066252421148,0.3223655233844644,32.23655233844644,287,112.0,0.3902439024390244,39.02439024390244,0.3356131549578453,33.561315495784534,0.447773985735738,44.7773985735738,E09000002,4.0,7784.0,2026.0,1054.0,39.60161035457348,0.2357413926002055,0.1483218139773895,30.70796158787256,0.5999624871531346,0.6691239722507707,49.76852376670092,22.9623081963001,0.2803114511352418,0.3337628083491461,1358869.639658935,697431.1469403477,51.32436008470961,E02000015,Barking and Dagenham 014,,6042.0,48.10403500243072,13.709285367039378,30.712202236266407,4.8736023334953815,2.600875060768109,51.89596499756928,30.87071240105541,47.22955145118733,19.55804749340369,6.584839940288605,35.146790512522806,23.149684699634918,32.641885164288084,20.33618984838497,42.6170072511536,1,E02000015,Barking and Dagenham 014,
E02000016,Barking and Dagenham 015,E09000002,Barking and Dagenham,296,71.0,0.2398648648648648,23.986486486486484,0.1947512724952946,19.475127249529457,0.291643969157754,29.1643969157754,296,117.0,0.3952702702702703,39.52702702702703,0.3412569336674554,34.125693366745544,0.4519671246603953,45.19671246603953,E09000002,4.0,8885.0,2613.0,441.0,33.661131007315696,0.2108440067529544,0.1000243106359032,15.919490489589196,0.0242087788407428,0.8222217220033765,50.98097231288689,37.10898998311762,0.2634205893608878,0.4243945578231292,880761.6993896174,239020.14899929764,27.137890892047484,E02000016,Barking and Dagenham 015,,11925.1,27.431869795609387,36.572672218016656,26.64647993943982,5.052990158970476,4.295987887963664,72.56813020439061,19.055118110236226,34.46194225721785,41.52230971128608,7.54517873631447,32.449544914918874,18.003165391717225,43.90662094434186,15.980057727630545,45.86722644975072,1,E02000016,Barking and Dagenham 015,
E02000017,Barking and Dagenham 016,E09000002,Barking and Dagenham,283,70.0,0.2473498233215547,24.73498233215548,0.2006868102508525,20.06868102508525,0.3007799561366733,30.077995613667337,283,112.0,0.3957597173144876,39.57597173144876,0.3405474642432686,34.05474642432686,0.4537639988117246,45.37639988117246,E09000002,5.0,8903.0,2068.0,1073.0,27.270586768505,0.1447668201729754,0.0800892957430079,18.25524104234528,-0.0761438840840166,0.6344870268448837,46.050744805121866,34.10093462877682,0.1685459381044487,0.2659263746505125,879263.2617475364,256245.31962343372,29.14318506998075,E02000017,Barking and Dagenham 016,,10419.9,31.749507335231,48.412524633238455,11.85679877381213,3.590978760674404,4.390190497044012,68.250492664769,46.47632815323455,10.697506324539212,42.32020238525479,5.30812324929972,36.56862745098039,23.134014843859404,34.63100406105588,11.492591254065774,43.332128659197686,1,E02000017,Barking and Dagenham 016,
E02000018,Barking and Dagenham 017,E09000002,Barking and Dagenham,369,98.0,0.2655826558265582,26.558265582655828,0.2231040674753279,22.310406747532795,0.3128917401067932,31.28917401067932,369,160.0,0.4336043360433604,43.360433604336045,0.3839809027388574,38.39809027388574,0.484595944495385,48.4595944495385,E09000002,5.0,9526.0,2727.0,1196.0,36.41188683602772,0.208729792147806,0.1294434180138568,30.50648477850094,0.3757655889145496,0.612370774721814,48.58554881377283,30.49484558051649,0.2424946828016134,0.2798152173913043,1362875.169077984,563365.0335022357,41.33651021636596,E02000018,Barking and Dagenham 017,,7034.9,52.12520938023451,20.18425460636516,20.540201005025125,4.093383584589614,3.0569514237855944,47.87479061976549,39.5730198019802,37.77846534653465,21.844059405940595,6.301800514432696,36.69619891397542,23.910247248820923,31.68500786051165,21.92331478045764,47.03153988868274,1,E02000018,Barking and Dagenham 017,
E02000019,Barking and Dagenham 018,E09000002,Barking and Dagenham,339,92.0,0.2713864306784661,27.13864306784661,0.226808352567002,22.68083525670021,0.3210876325534413,32.10876325534413,339,147.0,0.4336283185840708,43.36283185840708,0.3819088137923555,38.19088137923555,0.4868351818877732,48.68351818877733,E09000002,5.0,9074.0,2517.0,1186.0,32.065294026890015,0.196407317610756,0.1126267357284549,25.4304129380648,0.1567450958783336,0.4759083094555874,49.41823627947984,26.1623482477408,0.2542773142630115,0.265137436762226,3046746.671746725,890882.6606418717,29.240457334482663,E02000019,Barking and Dagenham 018,,3187.3,52.13745989028051,17.803540006210536,22.782320670738017,4.585446641134458,2.6912327916364767,47.86254010971949,41.64588528678304,35.59850374064838,20.32418952618454,5.794419134396355,35.065489749430526,23.41213329535745,31.77157504984335,22.776911076443056,48.42433697347894,1,E02000019,Barking and Dagenham 018,
E02000020,Barking and Dagenham 019,E09000002,Barking and Dagenham,407,108.0,0.2653562653562653,26.53562653562653,0.2248001785160998,22.480017851609983,0.310300294186293,31.030029418629308,407,167.0,0.4103194103194103,41.03194103194103,0.3635863298145295,36.35863298145295,0.4587295576581128,45.87295576581128,E09000002,5.0,11779.0,3482.0,1290.0,33.22273172595297,0.19539222344851,0.1079853128448934,24.110735716104934,0.0975173614058918,0.5943387384328042,52.6834940996689,33.02175889294507,0.2247688110281447,0.3148062015503876,3416798.36721971,1051974.1651422605,30.788300978915085,E02000020,Barking and Dagenham 019,,4116.3,35.67667567952185,31.05165789099189,24.51970969119112,4.432901665006404,4.319055073288744,64.32332432047815,40.11976047904192,31.223267750213857,24.272882805816938,5.777474668745128,33.261886204208885,21.492595479345283,37.69485580670304,17.02673796791444,48.29946524064171,1,E02000020,Barking and Dagenham 019,
